Time,Node,AC,Link0_Score,Link1_Score,ChosenLink,Switched,L0_Delay,L1_Delay,L0_Jitter,L1_Jitter,L0_Loss,L1_Loss,L0_Tp,L1_Tp
11.471,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4711,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4711,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4712,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4712,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4713,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4713,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4713,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4713,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4714,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4714,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4715,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4715,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4716,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4716,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4716,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4717,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4717,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4717,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4718,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4718,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4719,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4719,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4719,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.472,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.472,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.472,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4721,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4721,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4722,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4722,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4722,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4723,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4723,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4723,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4724,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4724,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4725,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4725,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4726,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4726,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4726,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4726,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4727,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4727,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4728,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4728,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4729,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4729,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4729,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.473,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.473,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.473,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4731,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4731,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4732,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4732,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4732,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4733,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4733,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4733,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4734,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4734,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4735,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4735,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4736,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4736,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4736,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4736,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4737,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4737,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4738,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4738,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4739,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4739,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4739,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.474,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.474,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.474,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4741,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4741,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4742,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4742,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4742,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4743,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4743,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4743,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4744,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4744,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
11.4745,AP,3,0.963976,1.04364,1,0,0,0,0,0,0,0,0,158.665
11.4745,AP,2,0.618661,1.04598,1,0,0,0,0,0,0,0,0,155.139
